Q[A001, 21] = -1000.0
Q[A002, 21] = 900.0
Q[A002, 22] = -1000.0
Q[A003, 21] = -810.0
Q[A003, 22] = 900.0
Q[A003, 23] = -1000.0
Q[A010, 11] = -1000.0
Q[A011, 11] = 900.0
Q[A011, 21] = 900.0
Q[A013, 11] = -810.0
Q[A013, 21] = -810.0
Q[A013, 22] = -810.0
Q[A013, 23] = 900.0
Q[A020, 11] = 900.0
Q[A020, 12] = -1000.0
Q[A021, 11] = -810.0
Q[A021, 12] = 900.0
Q[A021, 21] = -810.0
Q[A022, 11] = -810.0
Q[A022, 12] = -810.0
Q[A022, 21] = -810.0
Q[A022, 22] = -810.0
Q[A100, 01] = -1000.0
Q[A101, 01] = 900.0
Q[A101, 21] = 900.0
Q[A102, 01] = -810.0
Q[A102, 21] = -810.0
Q[A102, 22] = 900.0
Q[A103, 01] = -810.0
Q[A103, 21] = -810.0
Q[A103, 22] = -810.0
Q[A103, 23] = 900.0
Q[A110, 01] = 900.0
Q[A110, 11] = 900.0
Q[A111, 01] = -810.0
Q[A111, 11] = -810.0
Q[A111, 21] = -810.0
Q[A112, 01] = -810.0
Q[A112, 11] = -810.0
Q[A112, 21] = 729.0
Q[A112, 22] = -810.0
Q[A120, 01] = -810.0
Q[A120, 11] = -810.0
Q[A120, 12] = 900.0
Q[A121, 01] = -810.0
Q[A121, 11] = 729.0
Q[A121, 12] = -810.0
Q[A121, 21] = -810.0
Q[A123, 01] = -656.1
Q[A123, 11] = -656.1
Q[A123, 12] = -810.0
Q[A123, 21] = -656.1
Q[A123, 22] = -656.1
Q[A123, 23] = -810.0
